"enhancer","promoter","stratum","odds_ratio","pvalue","adjpvalue"
"any.27ac_enhancer","any.27ac_promoter","all",1.3244868241815,7.25264529720355e-12,2.73368938125365e-11
"any.27ac_enhancer","any.27m3_promoter","all",1.00318659270624,0.955517462811188,0.975424076619755
"any.27ac_enhancer","iPSC_SE_promoter","all",2.56862872181298,6.06010470199418e-45,7.42362825994287e-44
"any.27ac_enhancer","NSC_SE_promoter","all",1.78116112673276,1.90761716459582e-12,7.78943675543295e-12
"any.27ac_enhancer","Neuron_SE_promoter","all",1.80547715144784,3.39737604600466e-15,1.51337660231117e-14
"any.27ac_enhancer","CGI_promoter","all",1.03478147767723,0.448104270528423,0.548927731397318
"any.27ac_enhancer","TATA_box_promoter","all",0.750604824713641,0.00259469067264904,0.00635699214799014
"any.27m3_enhancer","any.27ac_promoter","all",0.761720548510865,3.39211231654343e-05,0.000110809002340419
"any.27m3_enhancer","any.27m3_promoter","all",2.46699600490265,3.06135873255579e-31,3.00013155790468e-30
"any.27m3_enhancer","iPSC_SE_promoter","all",1.36128209882266,0.0120379560893868,0.024577493682498
"any.27m3_enhancer","NSC_SE_promoter","all",1.54874223394813,0.000900854531172843,0.00232325642249838
"any.27m3_enhancer","Neuron_SE_promoter","all",1.57186477644493,0.000163678403514026,0.000471778927775721
"any.27m3_enhancer","CGI_promoter","all",0.92820124283331,0.301350297004016,0.399085528464778
"any.27m3_enhancer","TATA_box_promoter","all",0.719015343363623,0.0449016944596902,0.0829929165958738
"iPSC_SE_enhancer","any.27ac_promoter","all",1.24923802821197,0.00352699337434534,0.00822965120680579
"iPSC_SE_enhancer","any.27m3_promoter","all",0.857842049784916,0.0457307907773182,0.0829929165958738
"iPSC_SE_enhancer","iPSC_SE_promoter","all",6.68636098492214,9.70731730564764e-129,4.75658547976734e-127
"iPSC_SE_enhancer","NSC_SE_promoter","all",2.34299042065806,9.42445759181648e-12,3.29856015713577e-11
"iPSC_SE_enhancer","Neuron_SE_promoter","all",2.58626981042449,1.12449284333522e-17,5.5100149323426e-17
"iPSC_SE_enhancer","CGI_promoter","all",0.884874967789334,0.129908255799476,0.212183484472477
"iPSC_SE_enhancer","TATA_box_promoter","all",0.801790175997364,0.233495058270283,0.33379830442334
"NSC_SE_enhancer","any.27ac_promoter","all",1.16709689080031,0.169330790365533,0.251430567512458
"NSC_SE_enhancer","any.27m3_promoter","all",0.682840909090909,0.000430192634385561,0.00117107994916069
"NSC_SE_enhancer","iPSC_SE_promoter","all",4.21141506247889,1.2639306157605e-30,1.03221000287107e-29
"NSC_SE_enhancer","NSC_SE_promoter","all",5.87638027452974,8.63311406255319e-49,1.41007529688369e-47
"NSC_SE_enhancer","Neuron_SE_promoter","all",4.08223081620191,3.39174919021637e-27,2.37422443315146e-26
"NSC_SE_enhancer","CGI_promoter","all",0.816961986975617,0.0803170592160771,0.13570813453751
"NSC_SE_enhancer","TATA_box_promoter","all",0.711295283663705,0.241092103170691,0.33379830442334
"Neuron_SE_enhancer","any.27ac_promoter","all",1.10490410173463,0.24523957059674,0.33379830442334
"Neuron_SE_enhancer","any.27m3_promoter","all",0.965985982573818,0.713327043250228,0.794386934528663
"Neuron_SE_enhancer","iPSC_SE_promoter","all",2.79637336504162,2.39412821349779e-19,1.30346980512657e-18
"Neuron_SE_enhancer","NSC_SE_promoter","all",3.47893111268565,1.63343654904727e-26,1.00047988629146e-25
"Neuron_SE_enhancer","Neuron_SE_promoter","all",7.38033267814709,1.43704368166919e-122,3.52075702008951e-121
"Neuron_SE_enhancer","CGI_promoter","all",1.1004327923429,0.311505282221335,0.401677863916984
"Neuron_SE_enhancer","TATA_box_promoter","all",0.626072307317181,0.0351146388513832,0.0688246921487111
"CGI_enhancer","any.27ac_promoter","all",1.05959353230208,0.896483202505108,0.934631423888304
"CGI_enhancer","any.27m3_promoter","all",2.22646047253514,0.00534972115372776,0.0119152880242118
"CGI_enhancer","iPSC_SE_promoter","all",2.07911435745264,0.0636080918629811,0.111314160760217
"CGI_enhancer","NSC_SE_promoter","all",2.78457526827801,0.00659535268566336,0.0140509687651089
"CGI_enhancer","Neuron_SE_promoter","all",3.52956864976352,3.66149115576919e-05,0.000112133166645432
"CGI_enhancer","CGI_promoter","all",0.932341021514989,0.876455868061491,0.933616033369849
"CGI_enhancer","TATA_box_promoter","all",0.688696280245576,0.699797804183727,0.794386934528663
"TATA_box_enhancer","any.27ac_promoter","all",1.16560986792812,0.520919123326531,0.622561879097561
"TATA_box_enhancer","any.27m3_promoter","all",0.736097775281713,0.161987229063906,0.248042944504106
"TATA_box_enhancer","iPSC_SE_promoter","all",1.16367226061204,0.860825266785388,0.933616033369849
"TATA_box_enhancer","NSC_SE_promoter","all",0.206908602150538,0.135091904280311,0.213532364830169
"TATA_box_enhancer","Neuron_SE_promoter","all",1.27738266283525,0.685928672262766,0.794386934528663
"TATA_box_enhancer","CGI_promoter","all",0.999791088429283,0.999999999999996,0.999999999999996
"TATA_box_enhancer","TATA_box_promoter","all",1.47122219674387,0.406646213819489,0.510914473773204
"any.27ac_enhancer","any.27ac_promoter","tCRE_all",1.34569226306411,0.000807807762523121,0.00395825803636329
"any.27ac_enhancer","any.27m3_promoter","tCRE_all",0.940630229659961,0.518647427170442,0.651633946957735
"any.27ac_enhancer","iPSC_SE_promoter","tCRE_all",1.97720536959554,0.000269953497812744,0.00166910585543632
"any.27ac_enhancer","NSC_SE_promoter","tCRE_all",1.17565892753863,0.483903152598269,0.640844715603114
"any.27ac_enhancer","Neuron_SE_promoter","tCRE_all",1.48482201354007,0.0339733187284978,0.0924829232053552
"any.27ac_enhancer","CGI_promoter","tCRE_all",1.16856305253997,0.112793844091723,0.211821790669505
"any.27ac_enhancer","TATA_box_promoter","tCRE_all",0.656359918200409,0.013664804769237,0.0418484646057882
"any.27m3_enhancer","any.27ac_promoter","tCRE_all",0.91866298404825,0.436913197242598,0.611678476139637
"any.27m3_enhancer","any.27m3_promoter","tCRE_all",1.97064876405707,1.22734683120956e-09,1.50349986823171e-08
"any.27m3_enhancer","iPSC_SE_promoter","tCRE_all",0.844841848190019,0.505234552040845,0.651486659210563
"any.27m3_enhancer","NSC_SE_promoter","tCRE_all",1.71205134596211,0.0157888736983187,0.0455091065422128
"any.27m3_enhancer","Neuron_SE_promoter","tCRE_all",1.50052029136316,0.0447361297911308,0.109603517988271
"any.27m3_enhancer","CGI_promoter","tCRE_all",1.2616634507972,0.049749389350406,0.116081908484281
"any.27m3_enhancer","TATA_box_promoter","tCRE_all",0.504527870582029,0.00350855210119016,0.0122799323541656
"iPSC_SE_enhancer","any.27ac_promoter","tCRE_all",1.30291109362707,0.0828603741075523,0.166193089609002
"iPSC_SE_enhancer","any.27m3_promoter","tCRE_all",0.619640387275242,0.00096535723906949,0.00430022770130955
"iPSC_SE_enhancer","iPSC_SE_promoter","tCRE_all",6.95673635307782,1.21088976562245e-28,5.93335985155002e-27
"iPSC_SE_enhancer","NSC_SE_promoter","tCRE_all",2.21927710843374,0.00293519142749273,0.011063413842088
"iPSC_SE_enhancer","Neuron_SE_promoter","tCRE_all",2.11538461538461,0.00179526752816015,0.00733067573998727
"iPSC_SE_enhancer","CGI_promoter","tCRE_all",0.925100773504739,0.671358498835653,0.783251581974928
"iPSC_SE_enhancer","TATA_box_promoter","tCRE_all",1.23680555555556,0.472984259142187,0.640844715603114
"NSC_SE_enhancer","any.27ac_promoter","tCRE_all",1.33831971918774,0.116718129552584,0.211821790669505
"NSC_SE_enhancer","any.27m3_promoter","tCRE_all",0.78953995761127,0.197167561924834,0.333145190838513
"NSC_SE_enhancer","iPSC_SE_promoter","tCRE_all",2.58086622807018,0.000306570463243406,0.00166910585543632
"NSC_SE_enhancer","NSC_SE_promoter","tCRE_all",7.08392687559354,1.15191933677431e-20,2.82220237509707e-19
"NSC_SE_enhancer","Neuron_SE_promoter","tCRE_all",3.48669623059867,9.98667603774551e-08,9.7869425169906e-07
"NSC_SE_enhancer","CGI_promoter","tCRE_all",0.997064322498114,0.999999999999998,0.999999999999999
"NSC_SE_enhancer","TATA_box_promoter","tCRE_all",0.674358974358974,0.366699327374622,0.535190512243066
"Neuron_SE_enhancer","any.27ac_promoter","tCRE_all",1.01205265322912,0.994521367442989,0.999999999999999
"Neuron_SE_enhancer","any.27m3_promoter","tCRE_all",1.10897133220911,0.545215872819365,0.667889444203722
"Neuron_SE_enhancer","iPSC_SE_promoter","tCRE_all",2.4488683127572,0.000130929385380099,0.00106925664727081
"Neuron_SE_enhancer","NSC_SE_promoter","tCRE_all",1.38382268278641,0.371356681964577,0.535190512243066
"Neuron_SE_enhancer","Neuron_SE_promoter","tCRE_all",5.29614563883702,4.99829913354187e-19,8.16388858478505e-18
"Neuron_SE_enhancer","CGI_promoter","tCRE_all",1.01942500985416,0.969699988292276,0.999999999999999
"Neuron_SE_enhancer","TATA_box_promoter","tCRE_all",0.727211068909387,0.370092771767284,0.535190512243066
"CGI_enhancer","any.27ac_promoter","tCRE_all",1.00550246162757,0.999999999999999,0.999999999999999
"CGI_enhancer","any.27m3_promoter","tCRE_all",1.43095684803002,0.084792392657654,0.166193089609002
"CGI_enhancer","iPSC_SE_promoter","tCRE_all",1.01856335754641,0.999999999999996,0.999999999999999
"CGI_enhancer","NSC_SE_promoter","tCRE_all",0.990721649484536,0.999999999999997,0.999999999999999
"CGI_enhancer","Neuron_SE_promoter","tCRE_all",0.869025735294118,0.870821259076384,0.992331202203322
"CGI_enhancer","CGI_promoter","tCRE_all",1.32754029432376,0.221817373461058,0.35061455805135
"CGI_enhancer","TATA_box_promoter","tCRE_all",0.38094262295082,0.0760706354706099,0.162063527741734
"TATA_box_enhancer","any.27ac_promoter","tCRE_all",1.19859212987919,0.166105665495584,0.290684914617272
"TATA_box_enhancer","any.27m3_promoter","tCRE_all",0.700396209534591,0.0046855810325589,0.0153062313730258
"TATA_box_enhancer","iPSC_SE_promoter","tCRE_all",0.673288439955107,0.211718164894329,0.345806335994071
"TATA_box_enhancer","NSC_SE_promoter","tCRE_all",0.483307278096231,0.0649845542244661,0.144738325318129
"TATA_box_enhancer","Neuron_SE_promoter","tCRE_all",0.840885506745071,0.600569199615728,0.717753433687089
"TATA_box_enhancer","CGI_promoter","tCRE_all",0.757150628453632,0.0384405713077241,0.0991362102146568
"TATA_box_enhancer","TATA_box_promoter","tCRE_all",2.0354719676229,0.00028530213427292,0.00166910585543632
"any.27ac_enhancer","any.27ac_promoter","mediating",1.15183745203099,7.61826452146769e-05,0.000201799979633675
"any.27ac_enhancer","any.27m3_promoter","mediating",1.03029937874139,0.421378847264917,0.469262807181385
"any.27ac_enhancer","iPSC_SE_promoter","mediating",2.49107604017217,5.10969880100419e-42,5.0075048249841e-41
"any.27ac_enhancer","NSC_SE_promoter","mediating",1.73107055796934,3.37203447088223e-12,1.27099760825561e-11
"any.27ac_enhancer","Neuron_SE_promoter","mediating",1.6187865497076,1.82528089382542e-11,6.38848312838897e-11
