Cell	Sample	Primer	 Tech_rep	Ct	Tm Value	GAPDH	dCt	NC_dCt	ddCt	FC	mean_FC	SD_FC
Cortical neuron	ONECUT2 NC1 rep1	ONECUT2.p1	1	17.612635	86.8	16.756622	0.856013	0.73299	0.123023	0.918261523	1.00363795	0.120740501
Cortical neuron	ONECUT2 NC1 rep1	ONECUT2.p1	2	17.586267	86.8	16.9763	0.609967	0.73299	-0.123023	1.089014377		
Cortical neuron	ONECUT2 NC1 rep2	ONECUT2.p1	1	17.545149	86.8	16.650864	0.894285	0.70365	0.190635	0.87621997	1.008742951	0.187415797
Cortical neuron	ONECUT2 NC1 rep2	ONECUT2.p1	2	17.363462	87.1	16.850447	0.513015	0.70365	-0.190635	1.141265932		
Cortical neuron	ONECUT2 si1 rep1	ONECUT2.p1	1	19.260435	87.1	16.89757	2.362865	0.73299	1.629875	0.323116202	0.312323785	0.015262782
Cortical neuron	ONECUT2 si1 rep1	ONECUT2.p1	2	19.193365	87.1	16.730755	2.46261	0.73299	1.72962	0.301531369		
Cortical neuron	ONECUT2 si1 rep2	ONECUT2.p1	1	19.016367	87.1	16.846376	2.169991	0.70365	1.466341	0.361898993	0.395375979	0.047343607
Cortical neuron	ONECUT2 si1 rep2	ONECUT2.p1	2	19.017632	87.1	17.092537	1.925095	0.70365	1.221445	0.428852965		
Cortical neuron	ONECUT2 si2 rep1	ONECUT2.p1	1	18.97922	87.1	16.859657	2.119563	0.73299	1.386573	0.382472255	0.432088827	0.07016843
Cortical neuron	ONECUT2 si2 rep1	ONECUT2.p1	2	19.120377	87.1	17.33361	1.786767	0.73299	1.053777	0.481705399		
Cortical neuron	ONECUT2 si2 rep2	ONECUT2.p1	1	18.840729	87.1	17.049335	1.791394	0.70365	1.087744	0.470496534	0.434365777	0.051096606
Cortical neuron	ONECUT2 si2 rep2	ONECUT2.p1	2	18.896801	87.1	16.864843	2.031958	0.70365	1.328308	0.39823502		
Cortical neuron	ONECUT2 NC1 rep1	ONECUT2.p2	1	17.540993	86.8	16.756622	0.784371	0.576602	0.207769	0.865875196	1.010388023	0.204372
Cortical neuron	ONECUT2 NC1 rep1	ONECUT2.p2	2	17.345133	87	16.9763	0.368833	0.576602	-0.207769	1.15490085		
Cortical neuron	ONECUT2 NC1 rep2	ONECUT2.p2	1	17.193995	87.1	16.650864	0.543131	0.5165215	0.0266095	0.981724755	1.000170101	0.026085658
Cortical neuron	ONECUT2 NC1 rep2	ONECUT2.p2	2	17.340359	87	16.850447	0.489912	0.5165215	-0.0266095	1.018615447		
Cortical neuron	ONECUT2 si1 rep1	ONECUT2.p2	1	18.957016	87.1	16.89757	2.059446	0.576602	1.482844	0.357782815	0.387527694	0.042065611
Cortical neuron	ONECUT2 si1 rep1	ONECUT2.p2	2	18.568295	87	16.730755	1.83754	0.576602	1.260938	0.417272573		
Cortical neuron	ONECUT2 si1 rep2	ONECUT2.p2	1	18.91615	87.1	16.846376	2.069774	0.5165215	1.5532525	0.34074101	0.367549735	0.037913263
Cortical neuron	ONECUT2 si1 rep2	ONECUT2.p2	2	18.951479	87	17.092537	1.858942	0.5165215	1.3424205	0.394358461		
Cortical neuron	ONECUT2 si2 rep1	ONECUT2.p2	1	18.9806	87.1	16.859657	2.120943	0.576602	1.544341	0.342852275	0.427487592	0.119692413
Cortical neuron	ONECUT2 si2 rep1	ONECUT2.p2	2	18.87565	87	17.33361	1.54204	0.576602	0.965438	0.512122908		
Cortical neuron	ONECUT2 si2 rep2	ONECUT2.p2	1	18.711952	87.1	17.049335	1.662617	0.5165215	1.1460955	0.451846452	0.4369024	0.021134081
Cortical neuron	ONECUT2 si2 rep2	ONECUT2.p2	2	18.626192	87	16.864843	1.761349	0.5165215	1.2448275	0.421958348		
iPSC	TEAD2/4 NC1 rep1	TEAD2.p1	1	20.64982	80.3	16.134312	4.515508	4.672397375	-0.156889375	1.114880727	1.008356135	0.150648523
iPSC	TEAD2/4 NC1 rep1	TEAD2.p1	2	20.620947	80.3	15.7994795	4.8214675	4.672397375	0.149070125	0.901831542		
iPSC	TEAD2/4 NC1 rep2	TEAD2.p1	1	20.611336	80.3	16.08847	4.522866	4.672397375	-0.149531375	1.109209113	1.002939662	0.150287699
iPSC	TEAD2/4 NC1 rep2	TEAD2.p1	2	20.647045	80.3	15.817297	4.829748	4.672397375	0.157350625	0.896670211		
iPSC	TEAD2/4 si1 rep1	TEAD2.p1	1	23.206463	80.3	16.223635	6.982828	4.672397375	2.310430625	0.201600256	0.192330311	0.013109682
iPSC	TEAD2/4 si1 rep1	TEAD2.p1	2	23.282143	80.3	16.160137	7.122006	4.672397375	2.449608625	0.183060366		
iPSC	TEAD2/4 si1 rep2	TEAD2.p1	1	23.3123	80.3	16.318062	6.994238	4.672397375	2.321840625	0.200012126	0.198100245	0.002703809
iPSC	TEAD2/4 si1 rep2	TEAD2.p1	2	23.150454	80.5	16.128368	7.022086	4.672397375	2.349688625	0.196188363		
iPSC	TEAD2/4 si2 rep1	TEAD2.p1	1	22.996237	80.3	16.430845	6.565392	4.672397375	1.892994625	0.269247597	0.287786549	0.026218037
iPSC	TEAD2/4 si2 rep1	TEAD2.p1	2	23.08066	80.3	16.7014	6.37926	4.672397375	1.706862625	0.3063255		
