label	motif	max_TF_exp	ATAC_enhancer_var	ATAC_promoter_var	RNA_enhancer_var	RNA_promoter_var	ATAC_enhancer_padj	ATAC_promoter_padj	RNA_enhancer_padj	RNA_promoter_padj	var_ATAC_enhancer	var_RNA_enhancer	var_ATAC_promoter	var_RNA_promoter	ATAC_enhancer_corr	ATAC_promoter_corr	RNA_enhancer_corr	RNA_promoter_corr	varNcorr05_ATAC_enhancer	varNcorr05_ATAC_promoter	varNcorr05_RNA_enhancer	varNcorr05_RNA_promoter	motifID	TF_symbol	motifName	TF_activator	TF_repressor	TF_pioneer	TF_closer	ATAC+	ATAC-	RNA+	RNA-
MA0003.5_TFAP2A	MA0003.5_TFAP2A	0.503806538023803	1.4405795067664	1.83437853502984	1.39106374765716	0.517098658269365	2.07207811437966e-31	1.00718840815483e-99	8.82665865547796e-25	1	no	yes	yes	no	0.731860864137799	-0.657144259599984	0.626533356192733	-0.38901995890832	no	yes	yes	no	MA0003.5	TFAP2A	TFAP2A	Yes	No	No	No	No	Yes	Yes	No
MA0017.3_NR2F1	MA0017.3_NR2F1	0.887432778679365	1.76204408993591	1.95270601003564	1.19978146067896	1.18328493040289	1.10223321101549e-84	4.22713855629881e-127	1.03565233039341e-07	1.62544140090353e-06	no	yes	yes	yes	-0.613181816203097	-0.789497229982699	-0.667095109545757	-0.473862324853202	no	yes	yes	no	MA0017.3	NR2F1	NR2F1	No	No	No	No	No	Yes	No	Yes
MA0018.5_CREB1	MA0018.5_CREB1	0.538894199865957	3.6555211821011	2.43404996355001	1.78099396984164	0.999557748338039	0	1.28474366419113e-268	1.296880944761e-87	1	yes	yes	yes	no	0.808954298164339	0.846006311374964	-0.657008178744794	0.848026940805125	yes	yes	yes	no	MA0018.5	CREB1	CREB1	Yes	No	No	No	Yes	No	No	Yes
MA0048.3_NHLH1	MA0048.3_NHLH1	1.93980943314356	2.76634963319439	2.51336430464473	1.70086443992891	0.708598645138837	0	2.08857255771593e-296	7.71380126024679e-72	1	yes	yes	yes	no	0.896098065447173	0.237739493835182	0.866780401980181	0.375913753511998	yes	no	yes	no	MA0048.3	NHLH1	NHLH1	No	No	No	No	Yes	No	Yes	No
MA0050.4_Irf1	MA0050.4_Irf1	0.106947165841415	2.4039541354506	1.06949720578628	0.450198091497639	0.349380474224038	9.14953500550793e-259	0.0308473672331921	1	1	yes	no	no	no	0.533593252059745	0.557249417435937	0.492657190384591	-0.552719085357278	yes	no	no	no	MA0050.4	IRF1	Irf1	Yes	Yes	No	No	Yes	No	No	No
MA0056.3_MZF1	MA0056.3_MZF1	0.190657959032726	1.04127946031451	1.60681607143432	1.82510038337058	0.845989126347444	0.135401101972789	8.24453832616571e-56	6.59788428922636e-97	1	no	yes	no	no	0.471858601011766	-0.648225033690238	-0.695070040149429	0.782610901611171	no	no	yes	no	MA0056.3	MZF1	MZF1	No	No	No	No	No	No	No	Yes
MA0058.4_MAX	MA0058.4_MAX	0.543965841817178	1.31093577122522	1.34528751992364	0.707635149740309	1.29053170736258	5.0086495065806e-17	2.34655706823548e-20	1	2.55182879420344e-14	no	no	no	yes	0.652846674885437	-0.638283016772624	0.163237531734413	-0.917078358347349	no	no	no	yes	MA0058.4	MAX	MAX	Yes	Yes	No	No	No	No	No	Yes
MA0059.2_MAX::MYC_TF1	MA0059.2_MAX::MYC	0.543965841817178	1.41885637038225	1.37729138607542	0.899305921232976	1.1209691967026	1.05884216362105e-28	8.91748351530198e-24	1	0.00193600106623582	no	no	no	yes	0.805880250930615	-0.815251388134489	0.68719470045096	-0.919728883988515	no	no	no	yes	MA0059.2	MAX	MAX::MYC	Yes	Yes	No	No	No	No	No	Yes
MA0070.2_PBX1	MA0070.2_PBX1	1.29407962122132	3.65578492051318	1.49303885970945	0.828721831457599	0.843380164109584	0	2.51645818777339e-38	1	1	yes	no	no	no	0.81759805768319	0.0912006298741817	0.607196865213794	-0.839339980484989	yes	no	no	no	MA0070.2	PBX1	PBX1	Yes	No	Yes	No	Yes	No	No	No
MA0073.2_RREB1	MA0073.2_RREB1	0.130944504228727	1.55335115420685	1.76082127527729	1.28425178079917	1.55104804984206	2.52295986833946e-47	2.7969647506236e-84	4.75199270853808e-14	9.9893624411277e-46	no	yes	yes	yes	-0.765930625383075	0.596270899372915	-0.683753320764568	-0.777446807769393	no	yes	yes	yes	MA0073.2	RREB1	RREB1	No	No	No	No	Yes	No	No	Yes
MA0079.5_SP1	MA0079.5_SP1	0.194006267502142	2.38520987102214	3.19454473647087	0.421910737339609	1.14657850357175	1.74924988183149e-252	0	1	0.000145916203415535	yes	no	yes	yes	0.600586869189247	0.750523874832271	-0.651530640799988	-0.805454736513262	yes	yes	no	yes	MA0079.5	SP1	SP1	Yes	Yes	No	No	Yes	No	No	Yes
