"network","dev_ratio","TF","connection_type","target_type","metric","value"
"base",0,"TEAD4","either","all","f1_score",0.11952744961779
"base",0,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.1,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.1,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.2,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.2,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.3,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.3,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.4,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.4,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.5,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.5,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.6,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.6,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.7,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.7,"ONECUT2","either","all","f1_score",0.0832183202985227
"base",0.8,"TEAD4","either","all","f1_score",0.11952744961779
"base",0.8,"ONECUT2","either","all","f1_score",0.0832183202985227
"base_no_tobias",0,"TEAD4","either","all","f1_score",0.0530387684073423
"base_no_tobias",0,"ONECUT2","either","all","f1_score",0.0422601079886059
"base_no_tobias",0.1,"TEAD4","either","all","f1_score",0.0530387684073423
"base_no_tobias",0.1,"ONECUT2","either","all","f1_score",0.0422601079886059
"base_no_tobias",0.2,"TEAD4","either","all","f1_score",0.0530387684073423
"base_no_tobias",0.2,"ONECUT2","either","all","f1_score",0.0422601079886059
"base_no_tobias",0.3,"TEAD4","either","all","f1_score",0.0530387684073423
"base_no_tobias",0.3,"ONECUT2","either","all","f1_score",0.0422601079886059
"base_no_tobias",0.4,"TEAD4","either","all","f1_score",0.0530387684073423
"base_no_tobias",0.4,"ONECUT2","either","all","f1_score",0.0422601079886059
