"network","dev_ratio","measurement_type","metric","value"
"base",0,"All interactions","f1",0.00632306011983657
"base",0.1,"All interactions","f1",0.00632306011983657
"base",0.2,"All interactions","f1",0.00632306011983657
"base",0.3,"All interactions","f1",0.00632306011983657
"base",0.4,"All interactions","f1",0.00632306011983657
"base",0.5,"All interactions","f1",0.00632306011983657
"base",0.6,"All interactions","f1",0.00632306011983657
"base",0.7,"All interactions","f1",0.00632306011983657
"base",0.8,"All interactions","f1",0.00632306011983657
"base_no_tobias",0,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.1,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.2,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.3,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.4,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.5,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.6,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.7,"All interactions","f1",0.00632306011983657
"base_no_tobias",0.8,"All interactions","f1",0.00632306011983657
"base_no_hic",0,"All interactions","f1",0.00460708932323503
"base_no_hic",0.1,"All interactions","f1",0.00460708932323503
"base_no_hic",0.2,"All interactions","f1",0.00460708932323503
"base_no_hic",0.3,"All interactions","f1",0.00460708932323503
"base_no_hic",0.4,"All interactions","f1",0.00460708932323503
"base_no_hic",0.5,"All interactions","f1",0.00460708932323503
"base_no_hic",0.6,"All interactions","f1",0.00460708932323503
"base_no_hic",0.7,"All interactions","f1",0.00460708932323503
"base_no_hic",0.8,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.1,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.2,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.3,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.4,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.5,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.6,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.7,"All interactions","f1",0.00460708932323503
"base_no_hic_no_tobias",0.8,"All interactions","f1",0.00460708932323503
"lasso",0,"All interactions","f1",0.00797010458882531
"lasso",0.1,"All interactions","f1",0.00799405994763375
"lasso",0.2,"All interactions","f1",0.00809593720884271
"lasso",0.3,"All interactions","f1",0.00814296867774621
"lasso",0.4,"All interactions","f1",0.0082465793553629
"lasso",0.5,"All interactions","f1",0.00854336404477271
"lasso",0.6,"All interactions","f1",0.0082293556182738
"lasso",0.7,"All interactions","f1",0.00853296109510086
"lasso",0.8,"All interactions","f1",0.00570211371456661
"lasso_no_tobias",0,"All interactions","f1",0.00797010458882531
"lasso_no_tobias",0.1,"All interactions","f1",0.00799405994763375
"lasso_no_tobias",0.2,"All interactions","f1",0.00809593720884271
"lasso_no_tobias",0.3,"All interactions","f1",0.00814296867774621
"lasso_no_tobias",0.4,"All interactions","f1",0.0082465793553629
"lasso_no_tobias",0.5,"All interactions","f1",0.00854336404477271
"lasso_no_tobias",0.6,"All interactions","f1",0.0082293556182738
"lasso_no_tobias",0.7,"All interactions","f1",0.00853296109510086
"lasso_no_tobias",0.8,"All interactions","f1",0.00570211371456661
"lasso_no_hic",0,"All interactions","f1",0.00632313742365021
"lasso_no_hic",0.1,"All interactions","f1",0.00631233771744786
"lasso_no_hic",0.2,"All interactions","f1",0.006375020065261
"lasso_no_hic",0.3,"All interactions","f1",0.00636929542841283
"lasso_no_hic",0.4,"All interactions","f1",0.00647096771640143
"lasso_no_hic",0.5,"All interactions","f1",0.00654702601989985
"lasso_no_hic",0.6,"All interactions","f1",0.00659643233135293
"lasso_no_hic",0.7,"All interactions","f1",0.00646038117513196
"lasso_no_hic",0.8,"All interactions","f1",0.00567337565851682
"lasso_no_hic_no_tobias",0,"All interactions","f1",0.00632313742365021
"lasso_no_hic_no_tobias",0.1,"All interactions","f1",0.00631233771744786
"lasso_no_hic_no_tobias",0.2,"All interactions","f1",0.006375020065261
"lasso_no_hic_no_tobias",0.3,"All interactions","f1",0.00636929542841283
"lasso_no_hic_no_tobias",0.4,"All interactions","f1",0.00647096771640143
"lasso_no_hic_no_tobias",0.5,"All interactions","f1",0.00654702601989985
"lasso_no_hic_no_tobias",0.6,"All interactions","f1",0.00659643233135293
"lasso_no_hic_no_tobias",0.7,"All interactions","f1",0.00646038117513196
"lasso_no_hic_no_tobias",0.8,"All interactions","f1",0.00567337565851682
