"network","metric","value","colour"
"Base","Number of edges",9733782,"#6BAED6"
"Base","Number of TF-to-peak edges",6871416,"#6BAED6"
"Base","Number of TF-to-promoter edges",2002893,"#6BAED6"
"Base","Number of TF-to-enhancer edges",4868523,"#6BAED6"
"Base","Number of enhancer-to-promoter edges",2862366,"#6BAED6"
"Base, no TOBIAS","Number of edges",36369656,"#FC8D59"
"Base, no TOBIAS","Number of TF-to-peak edges",33507290,"#FC8D59"
"Base, no TOBIAS","Number of TF-to-promoter edges",3176917,"#FC8D59"
"Base, no TOBIAS","Number of TF-to-enhancer edges",30330373,"#FC8D59"
"Base, no TOBIAS","Number of enhancer-to-promoter edges",2862366,"#FC8D59"
"Base, no Hi-C","Number of edges",11416367,"#74C476"
"Base, no Hi-C","Number of TF-to-peak edges",6871416,"#74C476"
"Base, no Hi-C","Number of TF-to-promoter edges",2002893,"#74C476"
"Base, no Hi-C","Number of TF-to-enhancer edges",4868523,"#74C476"
"Base, no Hi-C","Number of enhancer-to-promoter edges",4544951,"#74C476"
"Base, no Hi-C, no TOBIAS","Number of edges",38052241,"#BCBDDC"
"Base, no Hi-C, no TOBIAS","Number of TF-to-peak edges",33507290,"#BCBDDC"
"Base, no Hi-C, no TOBIAS","Number of TF-to-promoter edges",3176917,"#BCBDDC"
"Base, no Hi-C, no TOBIAS","Number of TF-to-enhancer edges",30330373,"#BCBDDC"
"Base, no Hi-C, no TOBIAS","Number of enhancer-to-promoter edges",4544951,"#BCBDDC"
"Elastic net","Number of edges",2333555,"#08519C"
"Elastic net","Number of TF-to-peak edges",1499685,"#08519C"
"Elastic net","Number of TF-to-promoter edges",485969,"#08519C"
"Elastic net","Number of TF-to-enhancer edges",1013716,"#08519C"
"Elastic net","Number of enhancer-to-promoter edges",833870,"#08519C"
"Elastic net, no TOBIAS","Number of edges",3755222,"#B30000"
"Elastic net, no TOBIAS","Number of TF-to-peak edges",2921352,"#B30000"
"Elastic net, no TOBIAS","Number of TF-to-promoter edges",547205,"#B30000"
"Elastic net, no TOBIAS","Number of TF-to-enhancer edges",2374147,"#B30000"
"Elastic net, no TOBIAS","Number of enhancer-to-promoter edges",833870,"#B30000"
"Elastic net, no Hi-C","Number of edges",2525514,"#238B45"
"Elastic net, no Hi-C","Number of TF-to-peak edges",1499685,"#238B45"
"Elastic net, no Hi-C","Number of TF-to-promoter edges",485969,"#238B45"
"Elastic net, no Hi-C","Number of TF-to-enhancer edges",1013716,"#238B45"
"Elastic net, no Hi-C","Number of enhancer-to-promoter edges",1025829,"#238B45"
"Elastic net, no Hi-C, no TOBIAS","Number of edges",3947181,"#6A51A3"
"Elastic net, no Hi-C, no TOBIAS","Number of TF-to-peak edges",2921352,"#6A51A3"
"Elastic net, no Hi-C, no TOBIAS","Number of TF-to-promoter edges",547205,"#6A51A3"
"Elastic net, no Hi-C, no TOBIAS","Number of TF-to-enhancer edges",2374147,"#6A51A3"
"Elastic net, no Hi-C, no TOBIAS","Number of enhancer-to-promoter edges",1025829,"#6A51A3"
