"network","metric","value","colour"
"Base","Number of TFs",342,"#6BAED6"
"Base","Number of enhancers",346253,"#6BAED6"
"Base","Number of promoters",34363,"#6BAED6"
"Base, no TOBIAS","Number of TFs",342,"#FC8D59"
"Base, no TOBIAS","Number of enhancers",360704,"#FC8D59"
"Base, no TOBIAS","Number of promoters",34435,"#FC8D59"
"Base, no Hi-C","Number of TFs",342,"#74C476"
"Base, no Hi-C","Number of enhancers",352665,"#74C476"
"Base, no Hi-C","Number of promoters",34435,"#74C476"
"Base, no Hi-C, no TOBIAS","Number of TFs",342,"#BCBDDC"
"Base, no Hi-C, no TOBIAS","Number of enhancers",360704,"#BCBDDC"
"Base, no Hi-C, no TOBIAS","Number of promoters",34435,"#BCBDDC"
"Elastic net","Number of TFs",342,"#08519C"
"Elastic net","Number of enhancers",284704,"#08519C"
"Elastic net","Number of promoters",33241,"#08519C"
"Elastic net, no TOBIAS","Number of TFs",342,"#B30000"
"Elastic net, no TOBIAS","Number of enhancers",345142,"#B30000"
"Elastic net, no TOBIAS","Number of promoters",33744,"#B30000"
"Elastic net, no Hi-C","Number of TFs",342,"#238B45"
"Elastic net, no Hi-C","Number of enhancers",296888,"#238B45"
"Elastic net, no Hi-C","Number of promoters",33472,"#238B45"
"Elastic net, no Hi-C, no TOBIAS","Number of TFs",342,"#6A51A3"
"Elastic net, no Hi-C, no TOBIAS","Number of enhancers",347934,"#6A51A3"
"Elastic net, no Hi-C, no TOBIAS","Number of promoters",33912,"#6A51A3"
