"tier","abc_variant","n_network_edges","n_abc_edges","n_intersect","n_union","jaccard","n_eligible_universe","abc_base_rate","precision","recall","f1","fisher_OR","fisher_ci_low","fisher_ci_high","fisher_p","n_both_for_corr","spearman_rho","spearman_p","pearson_r","pearson_p","auc"
"base","iPSC",1738929,34526,14710,1758745,0.00836391858967616,916581,0.0160487725580172,0.0160487725580172,1,0.0315905554762153,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"base","NSC",1738929,44264,18847,1764346,0.0106821451121265,927608,0.0203178497813732,0.0203178497813732,1,0.0398265105049897,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"base","Neuron",1738929,41573,18017,1762485,0.0102224983475037,925462,0.0194681143039909,0.0194681143039909,1,0.0381926889734695,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"base","max_across_celltypes",1738929,95061,41959,1792031,0.0234142154906918,957097,0.043839861581428,0.043839861581428,1,0.0839972934450121,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"elastic_net","iPSC",612795,34526,9416,637905,0.0147608186171922,916581,0.0160487725580172,0.0249080760786181,0.640108769544528,0.0479502979070123,2.57305227737297,2.48700554896092,2.6622584272337,0,378030,0.0990108775858749,0,0.146330263237618,0,0.532361615475407
"elastic_net","NSC",612795,44264,11634,645425,0.0180253321454855,927608,0.0203178497813732,0.030468099370944,0.617286570807025,0.0580699744689772,2.34638120254141,2.27757654527597,2.41726232330453,0,381842,0.102967892844833,0,0.123966602500143,0,0.532630311026916
"elastic_net","Neuron",612795,41573,11722,642646,0.0182402131188866,925462,0.0194681143039909,0.0307255174872283,0.650607759338403,0.0586798289965058,2.707479766053,2.62498071553884,2.79306487256739,0,381507,0.120322504758339,0,0.182475742150239,0,0.526817202658172
"elastic_net","max_across_celltypes",612795,95061,26815,681041,0.0393735472607376,957097,0.043839861581428,0.0683611426240583,0.639076241092495,0.123510527067299,2.66345992398491,2.60974749351712,2.71827945695215,0,392255,0.198866282029817,0,0.242053885876458,0,0.568404588592733
"filtered","iPSC",42336,34526,1968,74894,0.0262771383555425,916581,0.0160487725580172,0.0750257329114407,0.133786539768865,0.0961383454239027,5.58602164065185,5.31583948289271,5.86856808602376,0,26231,0.104206562457771,3.06778002107283e-64,0.139350379844571,7.25043127711464e-114,0.588495422531624
"filtered","NSC",42336,44264,2109,84491,0.0249612384751039,927608,0.0203178497813732,0.0798168262498581,0.111901098318035,0.0931742876076872,4.58317302618613,4.37125940514979,4.80408812424446,0,26423,0.0591108389891169,6.81016025227296e-22,0.0862161476770489,8.86484125611905e-45,0.584308667923986
"filtered","Neuron",42336,41573,2760,81149,0.034011509692048,925462,0.0194681143039909,0.104656453814652,0.153188655159016,0.124355133028453,6.77064078265989,6.4877865313144,7.06499023372446,0,26372,0.122215652074751,2.67946704080488e-88,0.188584118488281,1.14964095465319e-209,0.603861215829301
"filtered","max_across_celltypes",42336,95061,5882,131515,0.0447249363190511,957097,0.043839861581428,0.2154263111632,0.140184465788031,0.16984537198793,6.80264451726964,6.59371956359902,7.01595776214572,0,27304,0.209555118330427,1.34966368454627e-268,0.230442018574625,0,0.712706697468377
