"source_class","dist_bin","n_enhancers","y_mean"
"non-expressed enhancers","0-50",19972,0.0894752653715201
"expressed enhancers","0-50",1165,0.411158798283262
"non-expressed enhancers","50-100",42936,0.145728526178498
"expressed enhancers","50-100",2764,0.654486251808972
"non-expressed enhancers","100-150",61830,0.18096393336568
"expressed enhancers","100-150",4279,0.877541481654592
"non-expressed enhancers","150-200",57354,0.173640896886006
"expressed enhancers","150-200",3810,0.798950131233596
"non-expressed enhancers","200-250",42811,0.139870594006213
"expressed enhancers","200-250",2532,0.716824644549763
"non-expressed enhancers","250-300",29985,0.11842587960647
"expressed enhancers","250-300",1794,0.551839464882943
"non-expressed enhancers","300-350",19763,0.0918382836613874
"expressed enhancers","300-350",1086,0.413443830570902
"non-expressed enhancers","350-400",13334,0.0806209689515524
"expressed enhancers","350-400",705,0.367375886524823
"non-expressed enhancers","400-450",9022,0.0808024828197739
"expressed enhancers","400-450",464,0.22198275862069
"non-expressed enhancers","450-500",6106,0.0553553881428104
"expressed enhancers","450-500",301,0.229235880398671
