"axis","gene_set","rank"
"triplet_pairs","expressed_TRUE",1
"triplet_pairs","expressed_TRUE",2
"triplet_pairs","expressed_TRUE",3
"triplet_pairs","expressed_TRUE",4
"triplet_pairs","expressed_TRUE",5
"triplet_pairs","expressed_TRUE",7
"triplet_pairs","expressed_TRUE",8
"triplet_pairs","expressed_TRUE",10
"triplet_pairs","expressed_TRUE",11
"triplet_pairs","expressed_TRUE",12
"triplet_pairs","expressed_TRUE",13
"triplet_pairs","expressed_TRUE",14
"triplet_pairs","expressed_TRUE",15
"triplet_pairs","expressed_TRUE",16
"triplet_pairs","expressed_TRUE",17
"triplet_pairs","expressed_TRUE",18
"triplet_pairs","expressed_TRUE",19
"triplet_pairs","expressed_TRUE",20
"triplet_pairs","expressed_TRUE",23
"triplet_pairs","expressed_TRUE",24
"triplet_pairs","expressed_TRUE",25
"triplet_pairs","expressed_TRUE",26
"triplet_pairs","expressed_TRUE",27
"triplet_pairs","expressed_TRUE",28
"triplet_pairs","expressed_TRUE",30
"triplet_pairs","expressed_TRUE",32
"triplet_pairs","expressed_TRUE",35
"triplet_pairs","expressed_TRUE",36
"triplet_pairs","expressed_TRUE",37
"triplet_pairs","expressed_TRUE",39
"triplet_pairs","expressed_TRUE",44
"triplet_pairs","expressed_TRUE",45
"triplet_pairs","expressed_TRUE",46
"triplet_pairs","expressed_TRUE",47
"triplet_pairs","expressed_TRUE",49
"triplet_pairs","expressed_TRUE",50
"triplet_pairs","expressed_TRUE",51
"triplet_pairs","expressed_TRUE",53
"triplet_pairs","expressed_TRUE",56
"triplet_pairs","expressed_TRUE",57
"triplet_pairs","expressed_TRUE",59
"triplet_pairs","expressed_TRUE",60
"triplet_pairs","expressed_TRUE",61
"triplet_pairs","expressed_TRUE",64
"triplet_pairs","expressed_TRUE",65
"triplet_pairs","expressed_TRUE",67
"triplet_pairs","expressed_TRUE",69
"triplet_pairs","expressed_TRUE",71
"triplet_pairs","expressed_TRUE",72
"triplet_pairs","expressed_TRUE",73
"triplet_pairs","expressed_TRUE",74
"triplet_pairs","expressed_TRUE",75
"triplet_pairs","expressed_TRUE",77
"triplet_pairs","expressed_TRUE",78
"triplet_pairs","expressed_TRUE",81
"triplet_pairs","expressed_TRUE",84
"triplet_pairs","expressed_TRUE",90
"triplet_pairs","expressed_TRUE",91
"triplet_pairs","expressed_TRUE",94
"triplet_pairs","expressed_TRUE",97
"triplet_pairs","expressed_TRUE",98
"triplet_pairs","expressed_TRUE",105
"triplet_pairs","expressed_TRUE",106
"triplet_pairs","expressed_TRUE",108
"triplet_pairs","expressed_TRUE",110
"triplet_pairs","expressed_TRUE",111
"triplet_pairs","expressed_TRUE",112
"triplet_pairs","expressed_TRUE",113
"triplet_pairs","expressed_TRUE",114
"triplet_pairs","expressed_TRUE",115
"triplet_pairs","expressed_TRUE",116
"triplet_pairs","expressed_TRUE",120
"triplet_pairs","expressed_TRUE",121
"triplet_pairs","expressed_TRUE",125
"triplet_pairs","expressed_TRUE",126
"triplet_pairs","expressed_TRUE",127
"triplet_pairs","expressed_TRUE",128
"triplet_pairs","expressed_TRUE",129
"triplet_pairs","expressed_TRUE",130
"triplet_pairs","expressed_TRUE",131
"triplet_pairs","expressed_TRUE",132
"triplet_pairs","expressed_TRUE",137
"triplet_pairs","expressed_TRUE",138
"triplet_pairs","expressed_TRUE",140
"triplet_pairs","expressed_TRUE",141
"triplet_pairs","expressed_TRUE",142
"triplet_pairs","expressed_TRUE",146
"triplet_pairs","expressed_TRUE",147
"triplet_pairs","expressed_TRUE",148
"triplet_pairs","expressed_TRUE",150
"triplet_pairs","expressed_TRUE",151
"triplet_pairs","expressed_TRUE",152
"triplet_pairs","expressed_TRUE",153
"triplet_pairs","expressed_TRUE",154
"triplet_pairs","expressed_TRUE",155
"triplet_pairs","expressed_TRUE",157
"triplet_pairs","expressed_TRUE",158
"triplet_pairs","expressed_TRUE",160
"triplet_pairs","expressed_TRUE",161
"triplet_pairs","expressed_TRUE",163
"triplet_pairs","expressed_TRUE",164
"triplet_pairs","expressed_TRUE",166
"triplet_pairs","expressed_TRUE",172
"triplet_pairs","expressed_TRUE",174
"triplet_pairs","expressed_TRUE",175
"triplet_pairs","expressed_TRUE",179
"triplet_pairs","expressed_TRUE",183
"triplet_pairs","expressed_TRUE",184
"triplet_pairs","expressed_TRUE",186
"triplet_pairs","expressed_TRUE",188
"triplet_pairs","expressed_TRUE",189
"triplet_pairs","expressed_TRUE",190
"triplet_pairs","expressed_TRUE",191
"triplet_pairs","expressed_TRUE",194
"triplet_pairs","expressed_TRUE",195
"triplet_pairs","expressed_TRUE",196
"triplet_pairs","expressed_TRUE",198
"triplet_pairs","expressed_TRUE",199
"triplet_pairs","expressed_TRUE",200
"triplet_pairs","expressed_TRUE",202
"triplet_pairs","expressed_TRUE",203
"triplet_pairs","expressed_TRUE",205
"triplet_pairs","expressed_TRUE",206
"triplet_pairs","expressed_TRUE",207
"triplet_pairs","expressed_TRUE",208
"triplet_pairs","expressed_TRUE",223
"triplet_pairs","expressed_TRUE",224
"triplet_pairs","expressed_TRUE",225
"triplet_pairs","expressed_TRUE",226
"triplet_pairs","expressed_TRUE",227
"triplet_pairs","expressed_TRUE",229
"triplet_pairs","expressed_TRUE",231
"triplet_pairs","expressed_TRUE",235
"triplet_pairs","expressed_TRUE",236
"triplet_pairs","expressed_TRUE",238
"triplet_pairs","expressed_TRUE",240
"triplet_pairs","expressed_TRUE",241
"triplet_pairs","expressed_TRUE",243
"triplet_pairs","expressed_TRUE",244
"triplet_pairs","expressed_TRUE",245
"triplet_pairs","expressed_TRUE",246
"triplet_pairs","expressed_TRUE",247
"triplet_pairs","expressed_TRUE",248
"triplet_pairs","expressed_TRUE",249
"triplet_pairs","expressed_TRUE",251
"triplet_pairs","expressed_TRUE",253
"triplet_pairs","expressed_TRUE",255
"triplet_pairs","expressed_TRUE",256
"triplet_pairs","expressed_TRUE",259
"triplet_pairs","expressed_TRUE",260
"triplet_pairs","expressed_TRUE",261
"triplet_pairs","expressed_TRUE",263
"triplet_pairs","expressed_TRUE",264
"triplet_pairs","expressed_TRUE",267
"triplet_pairs","expressed_TRUE",270
"triplet_pairs","expressed_TRUE",271
"triplet_pairs","expressed_TRUE",272
"triplet_pairs","expressed_TRUE",275
"triplet_pairs","expressed_TRUE",279
"triplet_pairs","expressed_TRUE",283
"triplet_pairs","expressed_TRUE",284
"triplet_pairs","expressed_TRUE",285
"triplet_pairs","expressed_TRUE",286
"triplet_pairs","expressed_TRUE",288
"triplet_pairs","expressed_TRUE",290
"triplet_pairs","expressed_TRUE",296
"triplet_pairs","expressed_TRUE",297
"triplet_pairs","expressed_TRUE",299
"triplet_pairs","expressed_TRUE",303
"triplet_pairs","expressed_TRUE",304
"triplet_pairs","expressed_TRUE",308
"triplet_pairs","expressed_TRUE",310
"triplet_pairs","expressed_TRUE",311
"triplet_pairs","expressed_TRUE",312
"triplet_pairs","expressed_TRUE",315
"triplet_pairs","expressed_TRUE",316
"triplet_pairs","expressed_TRUE",317
"triplet_pairs","expressed_TRUE",318
"triplet_pairs","expressed_TRUE",321
"triplet_pairs","expressed_TRUE",322
"triplet_pairs","expressed_TRUE",326
"triplet_pairs","expressed_TRUE",327
"triplet_pairs","expressed_TRUE",333
"triplet_pairs","expressed_TRUE",334
"triplet_pairs","expressed_TRUE",335
"triplet_pairs","expressed_TRUE",338
"triplet_pairs","expressed_TRUE",341
"triplet_pairs","expressed_TRUE",344
"triplet_pairs","expressed_TRUE",345
"triplet_pairs","expressed_TRUE",348
"triplet_pairs","expressed_TRUE",350
"triplet_pairs","expressed_TRUE",352
"triplet_pairs","expressed_TRUE",355
"triplet_pairs","expressed_TRUE",356
"triplet_pairs","expressed_TRUE",358
"triplet_pairs","expressed_TRUE",359
"triplet_pairs","expressed_TRUE",360
"triplet_pairs","expressed_TRUE",362
"triplet_pairs","expressed_TRUE",364
"triplet_pairs","expressed_TRUE",375
"triplet_pairs","expressed_TRUE",379
"triplet_pairs","expressed_TRUE",381
"triplet_pairs","expressed_TRUE",383
