"sweep","sweep_value","theme","category","pct","n","n_nodes"
"adjpvalue_threshold",0.02,"TF_enhancer","fully_uncoupled",42.8571428571429,27,63
"adjpvalue_threshold",0.02,"TF_enhancer","intermediate",25.3968253968254,16,63
"adjpvalue_threshold",0.02,"TF_enhancer","fully_coupled",31.7460317460317,20,63
"adjpvalue_threshold",0.02,"TF_promoter","fully_uncoupled",67.2727272727273,148,220
"adjpvalue_threshold",0.02,"TF_promoter","intermediate",21.3636363636364,47,220
"adjpvalue_threshold",0.02,"TF_promoter","fully_coupled",11.3636363636364,25,220
"adjpvalue_threshold",0.05,"TF_enhancer","fully_uncoupled",43.7246963562753,216,494
"adjpvalue_threshold",0.05,"TF_enhancer","intermediate",21.4574898785425,106,494
"adjpvalue_threshold",0.05,"TF_enhancer","fully_coupled",34.8178137651822,172,494
"adjpvalue_threshold",0.05,"TF_promoter","fully_uncoupled",61.1721611721612,1503,2457
"adjpvalue_threshold",0.05,"TF_promoter","intermediate",28.3272283272283,696,2457
"adjpvalue_threshold",0.05,"TF_promoter","fully_coupled",10.5006105006105,258,2457
"adjpvalue_threshold",0.1,"TF_enhancer","fully_uncoupled",43.8136826783115,301,687
"adjpvalue_threshold",0.1,"TF_enhancer","intermediate",27.9475982532751,192,687
"adjpvalue_threshold",0.1,"TF_enhancer","fully_coupled",28.2387190684134,194,687
"adjpvalue_threshold",0.1,"TF_promoter","fully_uncoupled",57.7648268769284,1685,2917
"adjpvalue_threshold",0.1,"TF_promoter","intermediate",35.1045594789167,1024,2917
"adjpvalue_threshold",0.1,"TF_promoter","fully_coupled",7.13061364415495,208,2917
"adjpvalue_threshold",0.2,"TF_enhancer","fully_uncoupled",43.7853107344633,310,708
"adjpvalue_threshold",0.2,"TF_enhancer","intermediate",28.5310734463277,202,708
"adjpvalue_threshold",0.2,"TF_enhancer","fully_coupled",27.683615819209,196,708
"adjpvalue_threshold",0.2,"TF_promoter","fully_uncoupled",57.5932203389831,1699,2950
"adjpvalue_threshold",0.2,"TF_promoter","intermediate",35.4576271186441,1046,2950
"adjpvalue_threshold",0.2,"TF_promoter","fully_coupled",6.94915254237288,205,2950
