"enhancer","TF","promoter","promoter_measurement_type","tf_prom_id","new_route","gene"
"chr10_110005491_110006323","PRRX1","chr10_110007446_110008361","tCRE","PRRX1__chr10_110007446_110008361",TRUE,"ADD3"
"chr10_119526549_119527778","NEUROG1","chr10_119542446_119543316","tCRE","NEUROG1__chr10_119542446_119543316",TRUE,"ONTG10000001536.1"
"chr10_119526549_119527778","MEF2C","chr10_119542446_119543316","tCRE","MEF2C__chr10_119542446_119543316",TRUE,"ONTG10000001536.1"
"chr10_122486224_122488014","ZIC4","chr10_122461275_122462209","tCRE","ZIC4__chr10_122461275_122462209",TRUE,"HTRA1"
"chr10_122486224_122488014","ZIC1","chr10_122461275_122462209","tCRE","ZIC1__chr10_122461275_122462209",FALSE,"HTRA1"
"chr10_131751173_131752300","NR2F6","chr10_131981547_131982471","tCRE","NR2F6__chr10_131981547_131982471",TRUE,"BNIP3"
"chr10_131751173_131752300","SOX4","chr10_131981547_131982471","tCRE","SOX4__chr10_131981547_131982471",TRUE,"BNIP3"
"chr10_132407692_132408702","SP8","chr10_131981547_131982471","tCRE","SP8__chr10_131981547_131982471",FALSE,"BNIP3"
"chr10_132407692_132408702","ETV4","chr10_131981547_131982471","tCRE","ETV4__chr10_131981547_131982471",FALSE,"BNIP3"
"chr10_16386642_16387556","SIX3","chr10_16436479_16437422","tCRE","SIX3__chr10_16436479_16437422",TRUE,"PTER"
"chr10_16386642_16387556","SOX2","chr10_16436479_16437422","tCRE","SOX2__chr10_16436479_16437422",TRUE,"PTER"
"chr10_19728197_19729017","NEUROD1","chr10_19815491_19816630","aCRE","NEUROD1__chr10_19815491_19816630",TRUE,"PLXDC2"
"chr10_19728197_19729017","MEF2C","chr10_19815491_19816630","aCRE","MEF2C__chr10_19815491_19816630",TRUE,"PLXDC2"
"chr10_21806860_21807816","HOXB2","chr10_22003255_22004144","aCRE","HOXB2__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","HOXB2","chr10_22003255_22004144","tCRE","HOXB2__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","HOXB2","chr10_21517900_21519309","tCRE","HOXB2__chr10_21517900_21519309",TRUE,"SKIDA1"
"chr10_21806860_21807816","MEIS2","chr10_22003255_22004144","aCRE","MEIS2__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","MEIS2","chr10_22003255_22004144","tCRE","MEIS2__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","MEIS2","chr10_21517900_21519309","tCRE","MEIS2__chr10_21517900_21519309",TRUE,"SKIDA1"
"chr10_21806860_21807816","EBF1","chr10_22003255_22004144","aCRE","EBF1__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","EBF1","chr10_22003255_22004144","tCRE","EBF1__chr10_22003255_22004144",TRUE,"DNAJC1"
