"enhancer","triplet_pairs","cum_abs_estimate_out","cum_abs_estimate_in","n_regulating_TFs","n_regulated_genes","n_regulated_promoters","source_measurement_types","is_expressed","is_mediating","cum_abs_estimate_total","pareto","label"
"chr19_782094_783114",60,4.26508662401985,0.740578541323705,3,16,20,"aCRE,tCRE",TRUE,TRUE,5.00566516534356,TRUE,"chr19_782094_783114"
"chr6_33123420_33125153",57,5.71262194343533,1.28625700586524,3,17,19,"aCRE,tCRE",TRUE,TRUE,6.99887894930057,TRUE,"chr6_33123420_33125153"
"chr19_55464402_55465308",48,6.13259856599552,0.61391327837297,2,18,24,"aCRE,tCRE",TRUE,TRUE,6.74651184436849,FALSE,"chr19_55464402_55465308"
"chr11_65641723_65642638",44,6.93380143784096,0.852237846458595,2,18,22,"aCRE,tCRE",TRUE,TRUE,7.78603928429955,TRUE,"chr11_65641723_65642638"
"chr8_100667289_100668208",40,1.14635394868975,3.5551186375684,8,4,5,"aCRE",TRUE,TRUE,4.70147258625815,FALSE,"chr8_100667289_100668208"
"chr19_17412460_17413382",36,0.846161873804066,2.36827191718921,6,6,6,"aCRE",FALSE,TRUE,3.21443379099327,FALSE,"chr19_17412460_17413382"
"chr12_6602783_6603803",34,4.28599380811346,0.826636552434724,2,15,17,"aCRE,tCRE",TRUE,TRUE,5.11263036054819,FALSE,"chr12_6602783_6603803"
"chr19_10576947_10577881",30,3.08185973444711,0.985960605181866,3,9,10,"tCRE",TRUE,TRUE,4.06782033962898,FALSE,"chr19_10576947_10577881"
"chr19_45525907_45526838",28,7.78299248086864,0.444258221607736,1,18,28,"aCRE",FALSE,TRUE,8.22725070247637,TRUE,"chr19_45525907_45526838"
"chr19_18013257_18014299",26,0.263022829592965,4.48460860134671,13,2,2,"aCRE",TRUE,TRUE,4.74763143093967,FALSE,"chr19_18013257_18014299"
"chr19_44718303_44719252",26,5.20382863225675,1.05460555951528,2,13,13,"aCRE,tCRE",TRUE,TRUE,6.25843419177203,FALSE,"chr19_44718303_44719252"
"chr19_49155178_49156296",24,1.82704958693687,1.05010785469636,3,7,8,"aCRE,tCRE",TRUE,TRUE,2.87715744163323,FALSE,"chr19_49155178_49156296"
"chr2_85409962_85410698",24,4.85384614547536,0.788489915772664,2,9,12,"tCRE",TRUE,TRUE,5.64233606124802,FALSE,"chr2_85409962_85410698"
"chr5_177491155_177492103",24,2.26585770572084,0.630084943964003,2,11,12,"aCRE,tCRE",TRUE,TRUE,2.89594264968484,FALSE,"chr5_177491155_177492103"
"chr7_99943197_99944996",24,1.70035031744506,1.12551670626384,3,6,8,"aCRE",TRUE,TRUE,2.82586702370889,FALSE,"chr7_99943197_99944996"
"chr10_102412814_102413728",22,1.98462665517088,0.536108117907878,2,10,11,"aCRE,tCRE",TRUE,TRUE,2.52073477307876,FALSE,"chr10_102412814_102413728"
"chr14_24376197_24377079",22,4.90117665164772,1.0013439422499,2,11,11,"aCRE,tCRE",TRUE,TRUE,5.90252059389761,FALSE,"chr14_24376197_24377079"
"chr15_40103041_40104027",22,2.12011551005995,0.53661291412954,2,10,11,"aCRE",TRUE,TRUE,2.65672842418949,FALSE,"chr15_40103041_40104027"
"chr6_32192449_32193338",22,3.68943302299185,0.636367299458476,2,11,11,"tCRE",TRUE,TRUE,4.32580032245033,FALSE,"chr6_32192449_32193338"
"chr16_3101273_3102667",21,6.58599463127952,0.270892706782325,1,18,21,"aCRE",TRUE,TRUE,6.85688733806185,FALSE,""
"chr16_29825295_29826191",21,1.12189290928391,1.33330869520084,3,7,7,"aCRE",FALSE,TRUE,2.45520160448475,FALSE,""
"chr17_7656731_7657762",21,3.99612059669263,0.482713864423467,1,20,21,"aCRE",FALSE,TRUE,4.4788344611161,FALSE,""
"chr19_12656758_12657684",21,9.45345000965544,0.27331853542123,1,19,21,"aCRE",TRUE,TRUE,9.72676854507667,TRUE,"chr19_12656758_12657684"
"chr3_51703105_51704123",21,2.09633005041661,0.881425410810939,3,7,7,"aCRE,tCRE",TRUE,TRUE,2.97775546122755,FALSE,""
"chr11_66316576_66317577",20,3.54693916599011,0.625230577777975,2,10,10,"tCRE",TRUE,TRUE,4.17216974376809,FALSE,""
"chr11_924389_925002",20,0.271071376785762,3.73911075334583,10,2,2,"aCRE",TRUE,TRUE,4.01018213013159,FALSE,""
"chr12_54075753_54076661",20,5.55363129995095,0.541592689685034,1,15,20,"aCRE",TRUE,TRUE,6.09522398963599,FALSE,""
"chr15_78671369_78672402",20,1.84433248264768,0.64849278854926,2,10,10,"aCRE",TRUE,TRUE,2.49282527119694,FALSE,""
"chr17_48463201_48464119",20,0.979421080909947,1.68467521293275,4,5,5,"aCRE",FALSE,TRUE,2.6640962938427,FALSE,""
"chr17_7676220_7677155",20,1.87937109955045,0.677705103469432,2,8,10,"aCRE,tCRE",TRUE,TRUE,2.55707620301988,FALSE,""
"chr19_18879468_18880414",20,5.06319655308977,0.643420314497167,1,14,20,"aCRE",FALSE,TRUE,5.70661686758694,FALSE,""
"chr19_40222971_40223827",20,5.23062046334642,0.284521603626495,1,14,20,"aCRE",TRUE,TRUE,5.51514206697292,FALSE,""
"chr19_45774505_45775408",20,4.42897028586973,0.266768605489723,1,17,20,"aCRE",FALSE,TRUE,4.69573889135946,FALSE,""
"chr19_49447269_49448151",20,4.42550761121723,0.599481683845059,1,15,20,"aCRE",FALSE,TRUE,5.02498929506229,FALSE,""
"chr8_144266009_144266937",20,2.05290914060216,0.722560789053134,2,9,10,"aCRE,tCRE",TRUE,TRUE,2.77546992965529,FALSE,""
"chr1_1409665_1410878",18,6.66505296129296,0.82638602226414,1,14,18,"aCRE",TRUE,TRUE,7.49143898355709,FALSE,""
"chr1_151294751_151295650",18,2.03039079887814,0.974300475868636,2,9,9,"aCRE,tCRE",TRUE,TRUE,3.00469127474678,FALSE,""
"chr1_222440795_222441708",18,0.323619634247683,2.69532784695865,9,1,2,"aCRE",FALSE,TRUE,3.01894748120633,FALSE,""
"chr11_743565_744497",18,4.54355720359597,0.603032595528727,1,15,18,"aCRE",TRUE,TRUE,5.14658979912469,FALSE,""
"chr11_64675148_64676084",18,2.31697429955372,0.598083653349545,2,9,9,"aCRE",FALSE,TRUE,2.91505795290327,FALSE,""
"chr11_67652050_67653033",18,2.04706705198351,0.70048955529529,2,9,9,"aCRE",FALSE,TRUE,2.7475566072788,FALSE,""
"chr12_113392742_113393652",18,2.62070127893087,0.549201844079745,2,7,9,"aCRE",FALSE,TRUE,3.16990312301062,FALSE,""
"chr12_123466906_123467790",18,1.60626213186576,0.95644029622564,3,6,6,"aCRE",FALSE,TRUE,2.5627024280914,FALSE,""
"chr12_49978851_49979968",18,1.71999312182548,1.01354066145548,3,6,6,"aCRE",TRUE,TRUE,2.73353378328096,FALSE,""
"chr12_57868564_57869503",18,2.40472096118598,0.586025521829447,2,9,9,"aCRE",TRUE,TRUE,2.99074648301543,FALSE,""
"chr16_57945752_57947105",18,2.81687452180957,0.655503506595545,2,8,9,"aCRE,tCRE",TRUE,TRUE,3.47237802840511,FALSE,""
"chr17_42681078_42681978",18,2.1476434593106,0.624026740966015,2,9,9,"aCRE,tCRE",TRUE,TRUE,2.77167020027662,FALSE,""
"chr19_23852732_23853599",18,3.16795705771167,0.943082519603136,3,6,6,"aCRE",FALSE,TRUE,4.1110395773148,FALSE,""
"chr19_6730148_6731062",18,7.36060149375451,0.405380943574124,1,15,18,"aCRE",TRUE,TRUE,7.76598243732863,FALSE,""
"chr2_218501391_218502318",18,3.12488430814604,0.650909151368126,2,9,9,"aCRE",TRUE,TRUE,3.77579345951417,FALSE,""
"chr21_36099620_36100513",18,2.38849212827513,0.885586481948746,3,6,6,"aCRE,tCRE",TRUE,TRUE,3.27407861022388,FALSE,""
"chr21_36959143_36960038",18,1.1113110230858,0.817375700345333,3,5,6,"aCRE",FALSE,TRUE,1.92868672343113,FALSE,""
"chr6_43204427_43205349",18,1.73466432242712,1.03283740585667,3,6,6,"aCRE,tCRE",TRUE,TRUE,2.76750172828379,FALSE,""
"chr16_31130634_31131528",17,3.57084187580707,0.273950947995533,1,15,17,"aCRE",FALSE,TRUE,3.8447928238026,FALSE,""
"chr19_1047307_1048181",17,3.33369664111964,0.50538225465366,1,9,17,"aCRE",FALSE,TRUE,3.8390788957733,FALSE,""
"chr19_49104147_49105427",17,5.68665523887035,0.379065208797954,1,16,17,"aCRE,tCRE",TRUE,TRUE,6.0657204476683,FALSE,""
"chr20_58668849_58670119",17,5.83471771503631,0.617483586356695,1,14,17,"aCRE",TRUE,TRUE,6.452201301393,FALSE,""
"chr1_174231251_174232159",16,0.259143893525637,3.37465839523738,8,2,2,"aCRE",FALSE,TRUE,3.63380228876302,FALSE,""
"chr1_23598156_23599121",16,1.88223782947152,0.553374196432268,2,6,8,"aCRE",TRUE,TRUE,2.43561202590379,FALSE,""
"chr1_32273374_32274452",16,3.39671209573062,0.564657024525179,2,7,8,"tCRE",TRUE,TRUE,3.9613691202558,FALSE,""
"chr1_84164222_84165282",16,1.46942013708761,1.10521420157182,4,4,4,"tCRE",TRUE,TRUE,2.57463433865942,FALSE,""
"chr11_76576943_76577841",16,0.321023434626698,3.05258550199935,8,2,2,"aCRE",FALSE,TRUE,3.37360893662604,FALSE,""
"chr12_53224277_53225158",16,4.33069189387059,0.422169351776231,1,14,16,"aCRE",FALSE,TRUE,4.75286124564682,FALSE,""
"chr12_53678502_53679427",16,1.8099341143165,0.567251658328573,2,8,8,"aCRE,tCRE",TRUE,TRUE,2.37718577264508,FALSE,""
"chr17_42328944_42330033",16,4.59451084019452,0.414450258414205,1,14,16,"aCRE",TRUE,TRUE,5.00896109860872,FALSE,""
"chr17_48160255_48161161",16,3.62160337881218,0.422045541605621,1,14,16,"aCRE",FALSE,TRUE,4.0436489204178,FALSE,""
"chr17_50274059_50274884",16,2.81581266152744,1.10808424507897,2,8,8,"aCRE,tCRE",TRUE,TRUE,3.92389690660641,FALSE,""
"chr19_38945014_38946013",16,3.15481498310853,0.379985188956616,1,13,16,"aCRE",FALSE,TRUE,3.53480017206515,FALSE,""
"chr19_45322126_45323038",16,2.31447200816287,0.600914010005089,2,7,8,"tCRE",TRUE,TRUE,2.91538601816796,FALSE,""
