"screen_peak_ID","peak_type","network_peak_id","compare","gene_symbol","CAT_geneClass","logFC","wilcox_p","mlog_wilcox_p","hit_score"
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","NSC_P0vsNSC_P1","CATG00000000096.1","LncRNA",-0.0778164797508657,0.269453347768612,0.569516416230498,-0.0443177626713861
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","NSC_P0vsNeuron","CATG00000000096.1","LncRNA",0.0903776957572297,0.081471471404833,1.08899444009995,0.0984208081886679
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","iPSvsNSC_P2","CATG00000000096.1","LncRNA",-0.809098002877633,0.00408454862756935,2.38885592918954,-1.93281856146965
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","NSC_P0vsNSC_P2","CATG00000000096.1","LncRNA",-0.657673599585128,0.00489392461060797,2.31034272510461,-1.51945141629486
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","NSC_P1vsNSC_P2","CATG00000000096.1","LncRNA",-0.598157544496347,0.00681214146073613,2.16671634206892,-1.29603772679205
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","iPSvsNSC_P0","CATG00000000096.1","LncRNA",0.0969139442918023,0.0395171712596854,1.40321415088295,0.135991018048139
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","NSC_P1vsNeuron","CATG00000000096.1","LncRNA",0.096292151978933,0.206735087507968,0.684585807756446,0.0659202406431044
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","iPSvsNeuron","CATG00000000096.1","LncRNA",0.336549353935904,0.167555706760993,0.775840775989842,0.261108711916512
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","NSC_P2vsNeuron","CATG00000000096.1","LncRNA",0.630757646371163,0.00471422363483603,2.32658981912363,1.46751431838153
"CATG00000000096_P1","Enhancer","chr10_72247500_72249483","iPSvsNSC_P1","CATG00000000096.1","LncRNA",-0.155654781555658,0.0558150208204296,1.25324890891981,-0.195074185152779
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","iPSvsNSC_P2","CATG00000000096.1","LncRNA",-0.662607535950563,0.0310782884428883,1.50754290686845,-0.998909290859853
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","NSC_P2vsNeuron","CATG00000000096.1","LncRNA",0.63256384872595,0.0171181130722709,1.76654410925376,1.11745194069371
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","NSC_P0vsNeuron","CATG00000000096.1","LncRNA",-0.460578015550769,0.0142996145247451,1.84467566967008,-0.849617059271431
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","NSC_P1vsNSC_P2","CATG00000000096.1","LncRNA",-0.591765193595867,0.0138553378332788,1.85838288039492,-1.09972630499214
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","NSC_P0vsNSC_P2","CATG00000000096.1","LncRNA",-0.752875171495478,0.00440574858293474,2.35598028979068,-1.77375906471612
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","NSC_P0vsNSC_P1","CATG00000000096.1","LncRNA",-0.073509660260315,0.00605812516720691,2.2176617579319,-0.163019562397867
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","iPSvsNeuron","CATG00000000096.1","LncRNA",0.059907431430207,0.0814713551989765,1.08899505955112,0.0652388968578928
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","iPSvsNSC_P1","CATG00000000096.1","LncRNA",0.07594133612737,0.0642952765148213,1.19182093156877,0.0905084739678994
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","iPSvsNSC_P0","CATG00000000096.1","LncRNA",0.138786837619685,0.0195674080671405,1.70846669793365,0.237112690184757
"CATG00000000096_P2","Enhancer","chr10_72247500_72249483","NSC_P1vsNeuron","CATG00000000096.1","LncRNA",0.0781376975990573,0.346576699571042,0.460200638355727,0.035959018314733
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","NSC_P1vsNeuron","CATG00000000100.1","LncRNA",-0.419683044881673,0.0264573620367207,1.57745345984648,-0.662030471187501
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","NSC_P0vsNeuron","CATG00000000100.1","LncRNA",-0.16806993670318,0.0660425331007597,1.18017627746581,-0.198352152252274
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","NSC_P2vsNeuron","CATG00000000100.1","LncRNA",0.845988852331224,0.00647513335926646,2.18875128259851,1.85165918560401
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","iPSvsNSC_P1","CATG00000000100.1","LncRNA",-0.201504056383943,0.0379358397634009,1.42095029777167,-0.286327248920963
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","NSC_P1vsNSC_P2","CATG00000000100.1","LncRNA",-1.15085711612838,0.00339856501291827,2.46870441781717,-2.84112604686244
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","iPSvsNSC_P0","CATG00000000100.1","LncRNA",-0.527073307432797,0.00936781385584524,2.02836174754526,-1.06909533494885
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","NSC_P0vsNSC_P1","CATG00000000100.1","LncRNA",0.215992922553593,0.142529949587911,0.846093868468765,0.182750287405244
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","iPSvsNeuron","CATG00000000100.1","LncRNA",-0.426571081290363,0.0848835913701297,1.07117625399793,-0.456932812920456
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","iPSvsNSC_P2","CATG00000000100.1","LncRNA",-1.22987571299637,0.00309650134933083,2.50912872640629,-3.08591648138861
"CATG00000000100_P1","Enhancer","chr10_72254732_72255659","NSC_P0vsNSC_P2","CATG00000000100.1","LncRNA",-0.86756790218703,0.00489392461060797,2.31034272510461,-2.00437919135207
"CATG00000000161_P1","Enhancer","chr10_73965759_73966729",NA,NA,NA,NA,NA,NA,NA
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","NSC_P1vsNeuron","CATG00000000211.1","LncRNA",0.17066067743111,0.00610263255328724,2.21448277863982,0.377925131162198
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","NSC_P0vsNeuron","CATG00000000211.1","LncRNA",0.137423584123156,0.0757684312155119,1.12051170471969,0.153984734514527
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","iPSvsNSC_P1","CATG00000000211.1","LncRNA",0.331169860787591,0.0359820587485065,1.44391399169817,0.478180795619936
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","NSC_P1vsNSC_P2","CATG00000000211.1","LncRNA",0.45217361556734,0.0422327911435525,1.37435021532655,0.621444905919957
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","iPSvsNeuron","CATG00000000211.1","LncRNA",0.651634643815413,0.00546632083605825,2.26230488174681,1.47419623581895
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","iPSvsNSC_P2","CATG00000000211.1","LncRNA",0.743702115327085,0.00414703579002058,2.38226221654305,1.77169344970686
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","NSC_P0vsNSC_P2","CATG00000000211.1","LncRNA",0.378674955329698,0.0389388747414714,1.40961660290923,0.533786504138652
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","NSC_P2vsNeuron","CATG00000000211.1","LncRNA",-0.189338871183056,0.134705025054032,0.870616202996157,-0.164841489108971
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","NSC_P0vsNSC_P1","CATG00000000211.1","LncRNA",-0.127857113186908,0.00579772561816194,2.23674234181612,-0.285983418767532
"CATG00000000211_P1","Enhancer","chr10_78039519_78040350","iPSvsNSC_P0","CATG00000000211.1","LncRNA",0.606720254276048,0.00358570157365514,2.44542585819491,1.48368939849724
"CATG00000000468_P1","Enhancer","chr10_93272722_93273639",NA,NA,NA,NA,NA,NA,NA
"CATG00000000685_P1","Enhancer","chr10_103230884_103231859",NA,NA,NA,NA,NA,NA,NA
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","iPSvsNSC_P1","CATG00000001318.1","LncRNA",-0.0829014964232017,0.00904571720644997,2.0435569935963,-0.169413932795232
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","NSC_P1vsNeuron","CATG00000001318.1","LncRNA",0.141411867758153,0.00936784344630317,2.02836037572549,0.286834229217971
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","iPSvsNeuron","CATG00000001318.1","LncRNA",0.114634085620166,0.0239580542399196,1.62054845619841,0.185770090479477
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","NSC_P0vsNSC_P1","CATG00000001318.1","LncRNA",0.113473611683186,0.0345221086076733,1.46190268547394,0.165887377650077
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","iPSvsNSC_P2","CATG00000001318.1","LncRNA",0.341439292112215,0.044218797558383,1.35439307136516,0.462443011528609
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","NSC_P0vsNSC_P2","CATG00000001318.1","LncRNA",0.551340090323272,0.00706243574496986,2.15104549042659,1.18595761498126
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","NSC_P2vsNeuron","CATG00000001318.1","LncRNA",-0.492993878553768,0.0266851182791862,1.57373086788816,-0.775839684359971
"CATG00000001318_P1","Enhancer","chr11_1351305_1352191","iPSvsNSC_P0","CATG00000001318.1","LncRNA",-0.0954702757253523,0.163894686611518,0.785435125823661,-0.0749857080267616
